Prot.FCC,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.358555208,1,1,1,0,1,0,0,0,1,1
-0.538064855,1,1,1,0,1,0,0,0,1,1
1.093870033,1,1,1,0,1,0,0,0,1,1
0.365303288,1,1,1,0,1,0,0,0,1,1
-0.093947396,1,1,1,0,1,0,0,0,1,1
-0.059030996,1,1,1,0,1,0,0,0,1,1
-0.308155535,1,1,1,0,1,0,0,0,1,1
0.046975922,1,1,1,0,1,0,0,0,1,1
-2.413404423,1,0,0,1,1,0,1,1,1,0
-0.44303603,1,0,0,1,1,0,1,1,1,0
1.286129873,0,1,0,1,0,0,0,0,1,1
1.218693836,0,1,0,1,0,0,0,0,1,1
1.148526747,0,1,0,1,0,0,0,0,1,1
0.336807105,0,1,0,1,0,0,0,0,1,1
0.06754299,0,1,0,1,0,0,0,0,1,1
-0.128795096,0,1,0,1,0,0,0,0,1,1
1.392679629,0,1,0,1,0,0,0,0,1,1
0.168681207,0,1,0,1,0,0,0,0,1,1
-0.194549703,0,1,0,0,0,1,0,1,0,1
-0.324341049,0,1,0,0,0,1,0,1,0,1
1.693685601,0,0,0,1,0,1,1,1,0,1
1.000246179,0,0,0,1,0,1,1,1,0,1
-0.407265137,0,0,0,1,0,1,1,1,0,1
0.355525864,0,0,0,1,0,1,1,1,0,1
0.107743736,0,0,0,1,0,1,1,1,0,1
-0.288947926,0,0,0,1,0,1,1,1,0,1
0.088316634,0,0,0,1,0,1,1,1,0,1
-0.267527797,0,0,0,1,0,1,1,1,0,1
-4.439809698,0,1,0,1,1,0,0,0,1,1
-0.239666712,0,1,0,1,1,0,0,0,1,1
0.353484268,1,1,0,0,1,0,0,0,0,1
0.15809831,1,1,0,0,1,0,0,0,0,1
-0.044148459,1,1,1,0,0,0,1,1,0,0
0.311924102,1,1,1,0,0,0,1,1,0,0
1.925514065,0,1,1,0,1,0,1,0,0,1
0.466240612,0,1,1,0,1,0,1,0,0,1
-2.318671512,0,1,1,1,1,1,1,0,1,1
-0.55462928,0,1,1,1,1,1,1,0,1,1
2.022501129,0,1,1,0,0,0,0,0,0,1
0.595864761,0,1,1,0,0,0,0,0,0,1
1.656185582,0,1,0,1,1,0,1,1,1,1
0.19454601,0,1,0,1,1,0,1,1,1,1
0.114528069,0,1,0,0,1,1,1,0,1,1
-0.246340054,0,1,0,0,1,1,1,0,1,1
0.358555208,1,1,1,0,1,0,0,0,1,1
-0.538064855,1,1,1,0,1,0,0,0,1,1
1.093870033,1,1,1,0,1,0,0,0,1,1
0.365303288,1,1,1,0,1,0,0,0,1,1
-0.093947396,1,1,1,0,1,0,0,0,1,1
-0.059030996,1,1,1,0,1,0,0,0,1,1
-0.308155535,1,1,1,0,1,0,0,0,1,1
0.046975922,1,1,1,0,1,0,0,0,1,1
-1.658013842,1,1,0,1,1,1,0,0,0,0
0.243201097,1,1,0,1,1,1,0,0,0,0
2.476522228,1,1,0,0,1,1,1,0,0,0
0.169810928,1,1,0,0,1,1,1,0,0,0
-2.187612316,1,1,1,1,1,1,1,0,0,1
-0.238740365,1,1,1,1,1,1,1,0,0,1
-2.494535253,0,1,0,1,1,0,0,1,1,0
-0.103678955,0,1,0,1,1,0,0,1,1,0
1.286129873,0,1,0,1,0,0,0,0,1,1
1.218693836,0,1,0,1,0,0,0,0,1,1
1.148526747,0,1,0,1,0,0,0,0,1,1
0.336807105,0,1,0,1,0,0,0,0,1,1
0.06754299,0,1,0,1,0,0,0,0,1,1
-0.128795096,0,1,0,1,0,0,0,0,1,1
1.392679629,0,1,0,1,0,0,0,0,1,1
0.168681207,0,1,0,1,0,0,0,0,1,1
3.561585589,0,1,0,0,1,0,1,0,1,0
0.31022207,0,1,0,0,1,0,1,0,1,0
1.693685601,0,0,0,1,0,1,1,1,0,1
1.000246179,0,0,0,1,0,1,1,1,0,1
-0.407265137,0,0,0,1,0,1,1,1,0,1
0.355525864,0,0,0,1,0,1,1,1,0,1
0.107743736,0,0,0,1,0,1,1,1,0,1
-0.288947926,0,0,0,1,0,1,1,1,0,1
0.088316634,0,0,0,1,0,1,1,1,0,1
-0.267527797,0,0,0,1,0,1,1,1,0,1
-1.498208501,1,1,1,0,1,1,0,0,0,0
0.000823684,1,1,1,0,1,1,0,0,0,0
0.586991008,1,1,0,0,0,1,0,0,1,1
0.216808566,1,1,0,0,0,1,0,0,1,1
-2.44129886,0,0,1,0,0,0,1,1,1,1
0.840460966,0,0,1,0,0,0,1,1,1,1
-0.267077048,0,0,1,0,0,0,1,1,1,1
-1.725080723,0,0,1,0,0,0,1,1,1,1
-0.957537993,0,1,1,1,0,1,0,1,0,1
-0.074671257,0,1,1,1,0,1,0,1,0,1
2.931232781,0,0,1,1,1,0,0,1,0,0
0.220075297,0,0,1,1,1,0,0,1,0,0
-0.102332769,1,1,1,1,1,1,1,1,1,1
-0.603895978,1,1,1,1,1,1,1,1,1,1
0.358555208,1,1,1,0,1,0,0,0,1,1
-0.538064855,1,1,1,0,1,0,0,0,1,1
1.093870033,1,1,1,0,1,0,0,0,1,1
0.365303288,1,1,1,0,1,0,0,0,1,1
-0.093947396,1,1,1,0,1,0,0,0,1,1
-0.059030996,1,1,1,0,1,0,0,0,1,1
-0.308155535,1,1,1,0,1,0,0,0,1,1
0.046975922,1,1,1,0,1,0,0,0,1,1
0.513857616,1,1,0,1,1,0,0,0,1,1
1.575284686,1,1,0,1,1,0,0,0,1,1
0.743082901,1,1,1,0,1,0,0,1,0,1
1.572440156,1,1,1,0,1,0,0,1,0,1
0.96139623,1,1,0,0,0,1,0,1,1,1
0.470791131,1,1,0,0,0,1,0,1,1,1
1.286129873,0,1,0,1,0,0,0,0,1,1
1.218693836,0,1,0,1,0,0,0,0,1,1
1.148526747,0,1,0,1,0,0,0,0,1,1
0.336807105,0,1,0,1,0,0,0,0,1,1
0.06754299,0,1,0,1,0,0,0,0,1,1
-0.128795096,0,1,0,1,0,0,0,0,1,1
1.392679629,0,1,0,1,0,0,0,0,1,1
0.168681207,0,1,0,1,0,0,0,0,1,1
1.19304293,0,0,0,0,1,0,1,0,1,0
0.314286802,0,0,0,0,1,0,1,0,1,0
2.079006488,0,0,0,0,1,0,1,0,1,0
0.41728979,0,0,0,0,1,0,1,0,1,0
1.693685601,0,0,0,1,0,1,1,1,0,1
1.000246179,0,0,0,1,0,1,1,1,0,1
-0.407265137,0,0,0,1,0,1,1,1,0,1
0.355525864,0,0,0,1,0,1,1,1,0,1
0.107743736,0,0,0,1,0,1,1,1,0,1
-0.288947926,0,0,0,1,0,1,1,1,0,1
0.088316634,0,0,0,1,0,1,1,1,0,1
-0.267527797,0,0,0,1,0,1,1,1,0,1
-1.085450191,0,1,1,1,1,0,0,0,1,1
-1.035469426,0,1,1,1,1,0,0,0,1,1
-5.475673113,1,1,0,1,1,0,0,0,1,1
-1.969911018,1,1,0,1,1,0,0,0,1,1
-2.44129886,0,0,1,0,0,0,1,1,1,1
0.840460966,0,0,1,0,0,0,1,1,1,1
-0.267077048,0,0,1,0,0,0,1,1,1,1
-1.725080723,0,0,1,0,0,0,1,1,1,1
0.544753719,0,0,1,0,1,0,1,0,0,0
-0.402171105,0,0,1,0,1,0,1,0,0,0
0.031730067,0,1,1,1,1,0,1,1,1,1
-1.133834938,0,1,1,1,1,0,1,1,1,1
0.358555208,1,1,1,0,1,0,0,0,1,1
-0.538064855,1,1,1,0,1,0,0,0,1,1
1.093870033,1,1,1,0,1,0,0,0,1,1
0.365303288,1,1,1,0,1,0,0,0,1,1
